,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Lotus,14.2%,52.8%,47.2%,"1,095,355"
1,Breeze,14.1%,50.6%,49.4%,"1,090,030"
2,Sunset,14.2%,49.8%,50.2%,"1,093,149"
3,Split,14.3%,49.1%,50.9%,"1,102,124"
4,Bind,14.3%,48.8%,51.2%,"1,104,701"
5,Ascent,14.3%,47.6%,52.4%,"1,104,392"
