,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Lotus,14.2%,52.5%,47.5%,"1,338,620"
1,Breeze,14.1%,50.3%,49.7%,"1,327,711"
2,Sunset,14.1%,49.6%,50.4%,"1,331,055"
3,Split,14.3%,48.9%,51.1%,"1,347,110"
4,Bind,14.3%,48.4%,51.6%,"1,350,125"
5,Ascent,14.3%,47.5%,52.5%,"1,348,677"
