,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Lotus,14.2%,51.4%,48.6%,"78,071"
1,Breeze,14.3%,49.5%,50.5%,"78,500"
2,Sunset,14.1%,48.8%,51.2%,"77,704"
3,Split,14.3%,47.4%,52.6%,"78,444"
4,Bind,14.4%,47.3%,52.7%,"78,995"
5,Ascent,14.4%,45.9%,54.1%,"79,051"
