,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Lotus,14.2%,52.9%,47.1%,"1,006,995"
1,Breeze,14.1%,50.8%,49.2%,"1,004,218"
2,Sunset,14.2%,49.9%,50.1%,"1,007,078"
3,Split,14.3%,49.3%,50.7%,"1,013,269"
4,Bind,14.3%,48.9%,51.1%,"1,015,528"
5,Ascent,14.3%,47.6%,52.4%,"1,014,763"
