,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Lotus,14.2%,51.5%,48.5%,"427,339"
1,Breeze,14.1%,49.5%,50.5%,"425,158"
2,Sunset,14.1%,48.9%,51.1%,"423,542"
3,Split,14.3%,48.1%,51.9%,"429,422"
4,Bind,14.4%,47.4%,52.6%,"431,420"
5,Ascent,14.4%,46.4%,53.6%,"431,396"
