,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Lotus,14.2%,52.6%,47.4%,"1,321,489"
1,Breeze,14.1%,50.5%,49.5%,"1,312,148"
2,Sunset,14.1%,49.6%,50.4%,"1,313,724"
3,Split,14.3%,48.9%,51.1%,"1,328,100"
4,Bind,14.3%,48.5%,51.5%,"1,332,671"
5,Ascent,14.3%,47.5%,52.5%,"1,332,488"
