,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Lotus,14.2%,52.7%,47.3%,"1,336,736"
1,Breeze,14.1%,50.5%,49.5%,"1,328,068"
2,Sunset,14.2%,49.7%,50.3%,"1,333,460"
3,Split,14.3%,49.0%,51.0%,"1,346,000"
4,Bind,14.3%,48.6%,51.4%,"1,348,414"
5,Ascent,14.3%,47.5%,52.5%,"1,347,442"
