,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Lotus,14.2%,51.8%,48.2%,"778,076"
1,Breeze,14.1%,49.8%,50.2%,"773,245"
2,Sunset,14.1%,49.2%,50.8%,"772,250"
3,Split,14.3%,48.5%,51.5%,"782,358"
4,Bind,14.4%,47.7%,52.3%,"786,180"
5,Ascent,14.3%,47.0%,53.0%,"784,250"
