,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Lotus,14.2%,51.4%,48.6%,"140,610"
1,Breeze,14.2%,49.5%,50.5%,"140,595"
2,Sunset,14.1%,48.9%,51.1%,"139,318"
3,Split,14.3%,47.6%,52.4%,"141,129"
4,Bind,14.4%,47.3%,52.7%,"142,031"
5,Ascent,14.4%,46.1%,53.9%,"141,919"
