,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Lotus,13.9%,52.5%,47.5%,"2,073,391"
1,Breeze,13.9%,49.9%,50.1%,"2,077,208"
2,Sunset,14.0%,49.8%,50.2%,"2,086,440"
3,Split,14.0%,49.2%,50.8%,"2,084,603"
4,Bind,14.0%,48.5%,51.5%,"2,089,951"
5,Ascent,14.0%,47.7%,52.3%,"2,088,502"
