,Map Name,Play Rate,Atk Win,Def Win,Num Matches
0,Lotus,14.2%,51.6%,48.4%,"603,241"
1,Breeze,14.1%,49.6%,50.4%,"599,225"
2,Sunset,14.1%,49.1%,50.9%,"598,218"
3,Split,14.3%,48.3%,51.7%,"606,967"
4,Bind,14.3%,47.5%,52.5%,"607,962"
5,Ascent,14.3%,46.7%,53.3%,"608,915"
