,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,9.5%,85.7%,4.8%,127.2
1,Outlaw,0.6,12.7%,82.3%,5.0%,125.5
2,Vandal,0.8,19.7%,73.3%,7.0%,123.7
3,Phantom,0.8,16.8%,74.7%,8.4%,116.5
4,Guardian,0.6,22.9%,71.9%,5.2%,114
5,Odin,0.9,9.4%,72.9%,17.7%,107
6,Bulldog,0.7,15.9%,75.5%,8.6%,93.6
7,Marshal,0.5,22.2%,73.2%,4.6%,92.5
8,Sheriff,0.5,25.3%,70.3%,4.4%,92
9,Ares,0.6,11.3%,73.0%,15.7%,88.1
10,Judge,0.7,11.7%,73.8%,14.5%,86.1
11,Spectre,0.7,13.2%,75.8%,11.0%,85.8
12,Stinger,0.6,15.6%,74.9%,9.5%,81.9
13,Ghost,0.8,21.4%,72.8%,5.9%,78.3
14,Bucky,0.5,14.1%,75.9%,10.0%,75.9
15,Classic,0.4,18.2%,74.5%,7.2%,66.5
16,Shorty,0.5,14.0%,74.6%,11.5%,66.1
17,Frenzy,0.6,16.2%,74.3%,9.5%,64
