,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.5,11.4%,82.0%,6.5%,126.8
1,Operator,0.8,9.0%,85.3%,5.7%,119.9
2,Vandal,0.8,14.2%,75.1%,10.7%,118
3,Guardian,0.6,14.5%,76.4%,9.1%,113.9
4,Phantom,0.8,12.1%,75.0%,12.9%,111.3
5,Odin,0.9,7.6%,69.1%,23.3%,105.8
6,Bulldog,0.6,11.3%,76.3%,12.4%,93.9
7,Ares,0.6,9.2%,71.1%,19.7%,91.7
8,Marshal,0.4,18.9%,75.0%,6.1%,91.2
9,Spectre,0.6,10.0%,75.3%,14.7%,86.7
10,Sheriff,0.5,19.3%,73.7%,7.0%,86.5
11,Judge,0.6,10.6%,72.5%,16.9%,83.4
12,Stinger,0.5,13.6%,73.8%,12.6%,77
13,Ghost,0.7,15.1%,75.5%,9.4%,76.8
14,Bucky,0.5,12.6%,74.8%,12.7%,72.8
15,Frenzy,0.6,13.0%,74.2%,12.8%,63
16,Classic,0.4,12.9%,76.3%,10.8%,61.4
17,Shorty,0.5,12.5%,73.0%,14.5%,57.7
