,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.1%,84.6%,5.3%,131.6
1,Vandal,0.8,26.5%,68.0%,5.6%,127.5
2,Outlaw,0.7,12.1%,83.3%,4.6%,123.9
3,Phantom,0.8,22.7%,70.6%,6.7%,119.8
4,Guardian,0.7,31.1%,64.9%,4.0%,115.1
5,Odin,0.8,11.8%,73.1%,15.2%,104.7
6,Sheriff,0.5,31.2%,65.3%,3.5%,99.6
7,Marshal,0.6,24.4%,71.5%,4.1%,93.2
8,Bulldog,0.7,23.3%,70.4%,6.3%,92.5
9,Judge,0.7,11.4%,74.1%,14.5%,87.6
10,Stinger,0.5,17.6%,74.4%,8.1%,82.2
11,Spectre,0.8,17.8%,73.6%,8.6%,82.2
12,Ares,0.6,14.3%,72.9%,12.9%,80.2
13,Ghost,0.8,28.9%,67.0%,4.1%,79.4
14,Bucky,0.5,13.8%,76.5%,9.7%,77.9
15,Shorty,0.6,14.0%,75.3%,10.7%,76.2
16,Classic,0.5,24.6%,70.1%,5.3%,70.4
17,Frenzy,0.6,19.6%,72.9%,7.5%,64.5
