,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.5,10.8%,80.8%,8.3%,120.4
1,Vandal,0.7,12.4%,73.7%,13.9%,113.6
2,Operator,0.7,9.1%,84.0%,6.9%,113.1
3,Guardian,0.6,11.7%,75.6%,12.7%,112.3
4,Phantom,0.7,10.8%,73.0%,16.2%,107.4
5,Odin,0.8,7.2%,66.4%,26.4%,102.5
6,Bulldog,0.6,10.1%,74.6%,15.3%,91.8
7,Ares,0.6,8.8%,69.3%,21.9%,90.1
8,Marshal,0.3,16.8%,75.2%,7.9%,85.5
9,Spectre,0.6,9.6%,73.5%,16.9%,84.8
10,Sheriff,0.5,17.0%,73.4%,9.5%,83.9
11,Judge,0.6,9.8%,70.8%,19.4%,80.1
12,Ghost,0.6,12.7%,75.2%,12.1%,74.1
13,Stinger,0.4,12.9%,71.8%,15.3%,69.9
14,Bucky,0.5,11.3%,73.2%,15.5%,69.8
15,Frenzy,0.5,12.4%,72.5%,15.1%,60.7
16,Classic,0.4,11.1%,75.4%,13.4%,58.2
17,Shorty,0.5,11.7%,71.1%,17.2%,53.3
