,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.1%,84.4%,5.5%,131.6
1,Vandal,0.8,27.2%,67.3%,5.5%,127.6
2,Outlaw,0.8,11.7%,83.6%,4.6%,123.3
3,Phantom,0.8,23.3%,70.1%,6.6%,119.4
4,Guardian,0.7,31.9%,64.1%,4.0%,116.1
5,Odin,0.9,12.2%,73.0%,14.8%,105.1
6,Sheriff,0.5,31.7%,64.9%,3.5%,100
7,Marshal,0.6,24.4%,71.6%,4.1%,94.3
8,Bulldog,0.7,24.1%,69.7%,6.1%,92.6
9,Judge,0.7,11.4%,74.1%,14.5%,88
10,Stinger,0.5,17.6%,74.3%,8.2%,82.1
11,Ares,0.6,14.9%,72.6%,12.5%,81.8
12,Spectre,0.8,18.2%,73.4%,8.4%,81.8
13,Ghost,0.8,29.7%,66.3%,4.0%,79.5
14,Shorty,0.7,13.8%,75.3%,10.8%,78
15,Bucky,0.5,13.5%,76.5%,10.1%,77.9
16,Classic,0.5,25.1%,69.6%,5.2%,70.4
17,Frenzy,0.6,19.7%,72.7%,7.6%,64.1
