,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,9.7%,85.6%,4.7%,128.5
1,Vandal,0.8,21.1%,72.4%,6.5%,124.8
2,Outlaw,0.6,12.9%,82.2%,4.9%,124.8
3,Phantom,0.8,18.1%,74.1%,7.8%,117.8
4,Guardian,0.7,24.8%,70.5%,4.8%,114.4
5,Odin,0.9,10.0%,73.3%,16.6%,107.2
6,Sheriff,0.5,26.6%,69.3%,4.1%,93.7
7,Bulldog,0.7,17.3%,74.7%,8.0%,93.7
8,Marshal,0.5,22.8%,72.8%,4.4%,92.6
9,Judge,0.7,11.7%,73.9%,14.4%,86.9
10,Ares,0.6,12.2%,72.9%,14.9%,86.1
11,Spectre,0.7,14.2%,75.5%,10.3%,85.4
12,Stinger,0.6,16.1%,74.9%,9.0%,82.4
13,Ghost,0.8,23.0%,71.7%,5.3%,78.7
14,Bucky,0.5,14.1%,76.1%,9.8%,76.7
15,Shorty,0.5,14.2%,74.8%,11.0%,68.5
16,Classic,0.4,19.6%,73.7%,6.7%,67.6
17,Frenzy,0.6,17.2%,73.9%,8.9%,64.3
