,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,9.6%,85.7%,4.7%,127.8
1,Outlaw,0.6,12.8%,82.3%,5.0%,125.5
2,Vandal,0.8,20.5%,72.8%,6.7%,124.4
3,Phantom,0.8,17.5%,74.4%,8.1%,117.3
4,Guardian,0.7,24.0%,71.1%,4.9%,114.3
5,Odin,0.9,9.7%,73.2%,17.1%,107.5
6,Bulldog,0.7,16.6%,75.2%,8.3%,93.7
7,Sheriff,0.5,26.0%,69.7%,4.3%,93
8,Marshal,0.5,22.5%,73.0%,4.5%,92.7
9,Ares,0.6,11.7%,73.1%,15.2%,86.8
10,Judge,0.7,11.7%,73.9%,14.4%,86.6
11,Spectre,0.7,13.7%,75.6%,10.7%,85.6
12,Stinger,0.6,15.8%,74.9%,9.3%,82
13,Ghost,0.8,22.2%,72.2%,5.5%,78.5
14,Bucky,0.5,14.1%,76.0%,9.9%,76.3
15,Shorty,0.5,14.0%,74.7%,11.3%,67.1
16,Classic,0.4,19.0%,74.1%,6.9%,67.1
17,Frenzy,0.6,16.8%,74.1%,9.1%,64.4
