,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.1%,84.4%,5.5%,131.7
1,Vandal,0.8,28.0%,66.6%,5.4%,127.8
2,Outlaw,0.8,11.4%,84.2%,4.4%,122.3
3,Phantom,0.8,23.8%,69.5%,6.6%,119.4
4,Guardian,0.7,32.6%,63.6%,3.8%,116
5,Odin,0.8,12.0%,73.0%,15.0%,102.9
6,Sheriff,0.5,32.3%,64.3%,3.4%,100.5
7,Marshal,0.6,24.1%,71.8%,4.0%,92.5
8,Bulldog,0.7,24.9%,69.0%,6.1%,91.9
9,Judge,0.7,11.3%,74.1%,14.6%,87.8
10,Stinger,0.5,17.7%,74.2%,8.1%,81.8
11,Spectre,0.7,18.6%,73.1%,8.3%,81
12,Ares,0.6,14.6%,72.9%,12.5%,79.8
13,Ghost,0.8,30.5%,65.5%,4.0%,79.3
14,Bucky,0.6,13.5%,76.7%,9.8%,78.9
15,Shorty,0.7,13.7%,75.5%,10.8%,78.6
16,Classic,0.5,25.8%,69.1%,5.2%,70.7
17,Frenzy,0.6,19.9%,72.9%,7.3%,64.1
