,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.4,11.0%,79.3%,9.7%,115.9
1,Vandal,0.7,12.1%,72.2%,15.7%,110.7
2,Guardian,0.5,10.9%,74.1%,15.0%,108.9
3,Operator,0.6,9.0%,83.0%,8.0%,106.7
4,Phantom,0.7,10.6%,71.6%,17.9%,104.9
5,Odin,0.8,7.2%,65.2%,27.6%,100
6,Bulldog,0.5,9.6%,73.1%,17.3%,90.2
7,Ares,0.6,8.7%,68.1%,23.2%,87.7
8,Sheriff,0.5,17.9%,71.1%,11.0%,83.4
9,Spectre,0.5,9.6%,72.3%,18.1%,83.1
10,Marshal,0.3,15.6%,75.1%,9.3%,80.9
11,Judge,0.6,9.1%,69.2%,21.7%,78.4
12,Ghost,0.6,11.8%,74.4%,13.8%,71.2
13,Bucky,0.4,10.6%,72.1%,17.3%,68.3
14,Stinger,0.4,12.4%,70.0%,17.6%,66.6
15,Frenzy,0.5,12.2%,72.3%,15.6%,59.1
16,Classic,0.4,10.7%,74.6%,14.7%,55.9
17,Shorty,0.5,11.6%,69.8%,18.7%,52.7
