,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.6,12.3%,82.4%,5.4%,128.3
1,Operator,0.8,9.3%,85.8%,4.9%,126.1
2,Vandal,0.8,17.3%,74.6%,8.1%,122
3,Guardian,0.7,19.3%,74.5%,6.2%,114.8
4,Phantom,0.8,14.7%,75.5%,9.8%,114.8
5,Odin,0.9,8.6%,71.8%,19.6%,107.2
6,Bulldog,0.7,13.7%,76.4%,9.9%,94.4
7,Marshal,0.4,21.2%,73.9%,4.9%,93.6
8,Ares,0.6,10.2%,72.5%,17.2%,90.2
9,Sheriff,0.5,23.0%,71.9%,5.1%,90.1
10,Spectre,0.7,11.6%,76.0%,12.3%,87
11,Judge,0.7,11.4%,73.5%,15.1%,85.6
12,Stinger,0.6,14.7%,74.8%,10.5%,81.1
13,Ghost,0.7,18.7%,74.3%,7.0%,78.2
14,Bucky,0.5,13.6%,75.7%,10.7%,75.2
15,Classic,0.4,15.9%,75.7%,8.4%,64.7
16,Frenzy,0.6,14.8%,74.6%,10.6%,64
17,Shorty,0.5,13.6%,74.1%,12.3%,63.2
