,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.6,11.7%,82.6%,5.7%,128.4
1,Operator,0.8,9.2%,85.8%,5.0%,124.4
2,Vandal,0.8,16.2%,75.0%,8.7%,121.2
3,Guardian,0.7,17.7%,75.4%,6.9%,115
4,Phantom,0.8,13.7%,75.6%,10.6%,114.3
5,Odin,0.9,8.2%,71.2%,20.6%,107.3
6,Bulldog,0.6,12.8%,76.7%,10.5%,94.8
7,Marshal,0.4,20.6%,74.2%,5.2%,93.4
8,Ares,0.6,9.8%,72.2%,17.9%,91.3
9,Sheriff,0.5,21.9%,72.6%,5.5%,89.3
10,Spectre,0.7,11.0%,76.0%,13.0%,87.5
11,Judge,0.6,11.2%,73.3%,15.5%,85
12,Stinger,0.6,14.4%,74.6%,11.0%,80.6
13,Ghost,0.7,17.5%,74.8%,7.7%,78.2
14,Bucky,0.5,13.3%,75.5%,11.2%,74.6
15,Frenzy,0.6,14.1%,74.8%,11.1%,64.1
16,Classic,0.4,14.9%,76.1%,9.0%,64
17,Shorty,0.5,13.3%,74.0%,12.8%,61.4
