,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,9.8%,84.9%,5.2%,130.4
1,Vandal,0.8,25.0%,69.3%,5.8%,126.6
2,Outlaw,0.7,12.8%,82.4%,4.8%,123.3
3,Phantom,0.8,21.5%,71.6%,6.9%,118.9
4,Guardian,0.7,29.4%,66.4%,4.2%,114.1
5,Odin,0.9,11.4%,73.1%,15.5%,105.3
6,Sheriff,0.5,30.0%,66.4%,3.6%,97.8
7,Bulldog,0.7,21.6%,71.7%,6.7%,92.7
8,Marshal,0.5,24.2%,71.7%,4.2%,92.4
9,Judge,0.7,11.5%,74.1%,14.4%,87
10,Spectre,0.8,16.8%,74.2%,9.0%,82.8
11,Stinger,0.5,17.2%,74.7%,8.1%,82.3
12,Ares,0.6,14.1%,72.7%,13.1%,81.9
13,Ghost,0.8,27.3%,68.4%,4.3%,79
14,Bucky,0.5,13.9%,76.4%,9.7%,77.1
15,Shorty,0.6,14.0%,75.2%,10.7%,74
16,Classic,0.4,23.3%,71.1%,5.6%,69.7
17,Frenzy,0.6,19.3%,73.0%,7.8%,64.4
