,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.6,12.4%,82.4%,5.2%,127.9
1,Operator,0.9,9.4%,85.8%,4.8%,126.7
2,Vandal,0.8,18.2%,74.2%,7.6%,122.9
3,Phantom,0.8,15.4%,75.3%,9.2%,115.8
4,Guardian,0.7,20.7%,73.6%,5.7%,114.9
5,Odin,0.9,8.9%,72.3%,18.8%,108.3
6,Bulldog,0.7,14.4%,76.2%,9.4%,94.6
7,Marshal,0.4,21.7%,73.5%,4.8%,93.7
8,Sheriff,0.5,23.8%,71.4%,4.8%,91
9,Ares,0.6,10.6%,72.8%,16.6%,89.7
10,Spectre,0.7,12.1%,76.1%,11.8%,87
11,Judge,0.7,11.5%,73.7%,14.8%,86.1
12,Stinger,0.6,15.0%,74.9%,10.1%,81.9
13,Ghost,0.8,19.6%,73.8%,6.6%,78.5
14,Bucky,0.5,13.8%,75.8%,10.4%,75.7
15,Classic,0.4,16.7%,75.4%,7.9%,65.5
16,Shorty,0.5,13.7%,74.3%,12.0%,64.4
17,Frenzy,0.6,15.3%,74.5%,10.2%,64.2
