,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.6,11.8%,82.2%,5.9%,128.5
1,Operator,0.8,9.2%,85.6%,5.2%,122.7
2,Vandal,0.8,15.3%,75.1%,9.5%,119.7
3,Guardian,0.6,16.2%,76.0%,7.8%,114.7
4,Phantom,0.8,13.0%,75.5%,11.5%,112.7
5,Odin,0.9,7.9%,70.3%,21.8%,106.5
6,Bulldog,0.6,12.1%,76.6%,11.3%,94.4
7,Marshal,0.4,19.8%,74.6%,5.5%,92.8
8,Ares,0.6,9.5%,71.7%,18.8%,91.6
9,Sheriff,0.5,20.8%,73.2%,6.1%,88.1
10,Spectre,0.6,10.5%,75.8%,13.7%,87.2
11,Judge,0.6,10.9%,73.0%,16.1%,83.9
12,Stinger,0.6,14.0%,74.3%,11.7%,79.3
13,Ghost,0.7,16.4%,75.2%,8.4%,77.6
14,Bucky,0.5,13.1%,75.2%,11.8%,73.9
15,Frenzy,0.6,13.6%,74.6%,11.8%,63.5
16,Classic,0.4,13.9%,76.3%,9.8%,62.8
17,Shorty,0.5,13.0%,73.4%,13.6%,59.9
