,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,9.7%,85.5%,4.8%,128.3
1,Vandal,0.8,21.8%,71.9%,6.3%,124.9
2,Outlaw,0.6,13.0%,82.1%,4.9%,124.4
3,Phantom,0.8,18.7%,73.7%,7.6%,117.5
4,Guardian,0.7,25.6%,69.8%,4.7%,113.6
5,Odin,0.9,10.2%,73.4%,16.4%,106.7
6,Sheriff,0.5,27.1%,68.8%,4.0%,94.2
7,Bulldog,0.7,18.0%,74.2%,7.8%,93
8,Marshal,0.5,22.9%,72.7%,4.4%,91.9
9,Judge,0.7,11.8%,73.9%,14.3%,86.7
10,Ares,0.6,12.5%,72.7%,14.7%,84.8
11,Spectre,0.7,14.7%,75.2%,10.1%,84.5
12,Stinger,0.6,16.4%,74.7%,8.9%,82.2
13,Ghost,0.8,23.7%,71.2%,5.1%,78.5
14,Bucky,0.5,14.3%,76.0%,9.7%,76.5
15,Shorty,0.5,14.2%,74.7%,11.0%,68.9
16,Classic,0.4,20.3%,73.3%,6.4%,67.8
17,Frenzy,0.6,17.6%,73.7%,8.7%,64.2
