,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.0%,84.3%,5.7%,131.7
1,Vandal,0.8,28.6%,65.9%,5.5%,128
2,Outlaw,0.8,10.8%,84.8%,4.4%,123.8
3,Phantom,0.8,24.3%,69.2%,6.5%,119.5
4,Guardian,0.7,33.3%,62.8%,3.8%,116.8
5,Odin,0.8,12.2%,72.6%,15.2%,102.3
6,Sheriff,0.5,33.0%,63.7%,3.4%,101.2
7,Marshal,0.6,24.3%,72.1%,3.6%,92.4
8,Bulldog,0.7,25.6%,68.4%,6.0%,92.3
9,Judge,0.7,10.9%,73.9%,15.2%,87.9
10,Ares,0.7,15.9%,71.3%,12.8%,82.9
11,Stinger,0.5,17.7%,74.3%,8.1%,81.5
12,Shorty,0.7,13.6%,75.5%,10.9%,81.1
13,Spectre,0.7,19.0%,72.8%,8.2%,80.7
14,Ghost,0.8,31.2%,64.8%,3.9%,79.3
15,Bucky,0.6,12.8%,76.9%,10.3%,77.9
16,Classic,0.5,26.2%,68.7%,5.1%,70.5
17,Frenzy,0.6,20.4%,72.2%,7.4%,64
