,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,9.8%,85.1%,5.1%,130.2
1,Vandal,0.8,24.3%,69.9%,5.9%,126.3
2,Outlaw,0.7,12.9%,82.4%,4.8%,123.4
3,Phantom,0.8,20.9%,72.0%,7.0%,118.7
4,Guardian,0.7,28.7%,67.1%,4.3%,113.7
5,Odin,0.9,11.2%,73.3%,15.6%,105.4
6,Sheriff,0.5,29.3%,66.9%,3.7%,96.9
7,Bulldog,0.7,20.9%,72.2%,6.9%,92.7
8,Marshal,0.5,23.7%,72.0%,4.3%,92.3
9,Judge,0.7,11.6%,74.0%,14.4%,86.9
10,Ares,0.6,14.0%,72.5%,13.5%,83.1
11,Spectre,0.8,16.4%,74.4%,9.2%,83.1
12,Stinger,0.6,17.1%,74.5%,8.4%,82.2
13,Ghost,0.8,26.6%,69.0%,4.4%,78.8
14,Bucky,0.5,14.0%,76.3%,9.7%,76.8
15,Shorty,0.6,14.0%,75.2%,10.8%,72.8
16,Classic,0.4,22.8%,71.5%,5.7%,69.3
17,Frenzy,0.6,19.0%,73.1%,7.9%,64.2
