,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.1%,84.3%,5.6%,132.8
1,Vandal,0.8,29.6%,65.0%,5.4%,128.2
2,Outlaw,0.8,9.5%,85.9%,4.6%,122
3,Phantom,0.8,24.9%,68.4%,6.7%,118.8
4,Guardian,0.7,34.5%,61.8%,3.7%,117.2
5,Odin,0.8,12.6%,73.2%,14.2%,102
6,Sheriff,0.5,34.0%,62.7%,3.3%,101.7
7,Marshal,0.6,23.4%,72.5%,4.1%,92.8
8,Bulldog,0.7,26.6%,67.5%,5.8%,92.1
9,Judge,0.7,11.2%,73.9%,14.9%,87.9
10,Shorty,0.8,13.5%,75.3%,11.1%,82
11,Stinger,0.5,17.7%,74.0%,8.2%,81.7
12,Ares,0.6,14.6%,71.4%,14.0%,80
13,Spectre,0.7,19.6%,72.6%,7.8%,80
14,Bucky,0.6,13.0%,76.7%,10.3%,79.8
15,Ghost,0.8,32.4%,63.7%,3.9%,79.6
16,Classic,0.5,26.5%,68.3%,5.2%,70.7
17,Frenzy,0.6,20.2%,72.5%,7.3%,64.4
