,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.5,11.1%,81.6%,7.3%,125.1
1,Operator,0.7,9.0%,84.8%,6.2%,117
2,Vandal,0.7,13.3%,74.6%,12.1%,116
3,Guardian,0.6,13.0%,76.3%,10.7%,113.1
4,Phantom,0.7,11.4%,74.2%,14.3%,109.4
5,Odin,0.9,7.3%,68.0%,24.7%,104.3
6,Bulldog,0.6,10.7%,75.6%,13.7%,93.2
7,Ares,0.6,9.0%,70.3%,20.7%,91.3
8,Marshal,0.3,17.9%,75.3%,6.8%,88.6
9,Spectre,0.6,9.8%,74.6%,15.6%,86
10,Sheriff,0.5,18.0%,73.9%,8.1%,85.2
11,Judge,0.6,10.3%,71.7%,18.0%,81.4
12,Ghost,0.6,13.8%,75.5%,10.6%,75.7
13,Stinger,0.5,13.3%,73.0%,13.7%,74.2
14,Bucky,0.5,12.0%,74.1%,13.9%,71.3
15,Frenzy,0.5,12.5%,73.7%,13.8%,61.8
16,Classic,0.4,12.0%,76.1%,11.9%,60.1
17,Shorty,0.5,12.2%,72.1%,15.6%,56
