,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.0%,84.8%,5.3%,131.1
1,Vandal,0.8,25.7%,68.6%,5.7%,126.9
2,Outlaw,0.7,12.5%,82.8%,4.7%,123.6
3,Phantom,0.8,22.1%,71.1%,6.8%,119.7
4,Guardian,0.7,30.3%,65.6%,4.1%,114.3
5,Odin,0.9,11.5%,73.3%,15.2%,105.2
6,Sheriff,0.5,30.5%,65.9%,3.6%,98.5
7,Bulldog,0.7,22.4%,71.0%,6.6%,92.6
8,Marshal,0.6,23.9%,72.0%,4.2%,92.5
9,Judge,0.7,11.5%,74.1%,14.5%,87.5
10,Ares,0.6,14.4%,72.5%,13.1%,82.6
11,Spectre,0.8,17.3%,73.9%,8.8%,82.4
12,Stinger,0.5,17.4%,74.4%,8.2%,82
13,Ghost,0.8,28.1%,67.7%,4.2%,79.1
14,Bucky,0.5,13.8%,76.6%,9.6%,77.8
15,Shorty,0.6,14.0%,75.4%,10.6%,75.5
16,Classic,0.4,23.9%,70.7%,5.4%,69.9
17,Frenzy,0.6,19.5%,72.9%,7.6%,64.2
