,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,9.8%,85.2%,5.0%,129.7
1,Vandal,0.8,23.6%,70.4%,6.0%,126
2,Outlaw,0.7,13.1%,82.2%,4.7%,123.2
3,Phantom,0.8,20.3%,72.5%,7.2%,118.4
4,Guardian,0.7,28.0%,67.7%,4.3%,113.6
5,Odin,0.9,10.9%,73.3%,15.8%,105.7
6,Sheriff,0.5,28.7%,67.4%,3.8%,96.1
7,Bulldog,0.7,20.1%,72.8%,7.1%,92.5
8,Marshal,0.5,23.5%,72.2%,4.2%,91.6
9,Judge,0.7,11.7%,73.9%,14.4%,86.8
10,Spectre,0.8,16.0%,74.6%,9.4%,83.6
11,Ares,0.6,13.5%,73.0%,13.5%,82.6
12,Stinger,0.6,16.9%,74.7%,8.5%,82.1
13,Ghost,0.8,25.8%,69.6%,4.6%,78.7
14,Bucky,0.5,14.0%,76.3%,9.7%,76.6
15,Shorty,0.6,14.2%,74.9%,10.9%,71.7
16,Classic,0.4,22.1%,72.0%,5.9%,68.9
17,Frenzy,0.6,18.6%,73.4%,8.0%,64.2
