,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.5,12.5%,79.7%,7.9%,129.3
1,Operator,0.7,10.2%,83.3%,6.4%,117.3
2,Vandal,0.7,13.1%,72.8%,14.2%,115.8
3,Guardian,0.6,11.9%,75.1%,13.1%,115.4
4,Phantom,0.7,11.3%,71.9%,16.7%,108.6
5,Odin,0.8,7.7%,65.6%,26.7%,103.9
6,Bulldog,0.6,10.6%,73.7%,15.6%,94.4
7,Marshal,0.3,19.3%,73.9%,6.8%,93.3
8,Ares,0.6,9.4%,68.1%,22.5%,91.8
9,Sheriff,0.5,17.7%,72.6%,9.7%,85.8
10,Spectre,0.6,10.3%,72.6%,17.2%,85.3
11,Judge,0.5,10.2%,70.4%,19.4%,77.7
12,Ghost,0.6,13.1%,74.3%,12.6%,75.7
13,Stinger,0.4,13.3%,70.9%,15.9%,69.1
14,Bucky,0.4,11.8%,72.7%,15.5%,67.1
15,Frenzy,0.5,12.9%,72.0%,15.1%,60.4
16,Classic,0.4,11.7%,74.9%,13.5%,59.2
17,Shorty,0.4,12.3%,71.1%,16.6%,51.5
