,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,11.8%,84.2%,4.0%,137.7
1,Outlaw,0.8,11.7%,84.8%,3.5%,128.3
2,Vandal,0.8,32.0%,63.1%,4.9%,126.2
3,Guardian,0.7,36.0%,61.0%,3.1%,124.1
4,Phantom,0.8,28.4%,65.9%,5.7%,114.6
5,Sheriff,0.6,34.6%,62.6%,2.8%,102.7
6,Marshal,0.6,29.8%,67.7%,2.5%,99.5
7,Odin,0.6,16.0%,70.0%,14.0%,93.9
8,Bulldog,0.8,29.2%,66.2%,4.6%,91.4
9,Shorty,0.9,16.4%,72.6%,10.9%,85.8
10,Stinger,0.6,17.8%,73.9%,8.3%,81.5
11,Judge,0.7,11.9%,72.9%,15.1%,81.4
12,Bucky,0.6,14.3%,76.1%,9.6%,78.5
13,Ghost,0.8,34.1%,62.7%,3.2%,77.1
14,Spectre,0.7,21.5%,71.2%,7.2%,77
15,Classic,0.5,29.3%,66.5%,4.2%,70.9
16,Ares,0.5,18.0%,72.7%,9.3%,69.8
17,Frenzy,0.7,21.5%,72.0%,6.5%,62.3
