,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.6,13.2%,81.7%,5.1%,135
1,Operator,0.8,10.3%,85.2%,4.5%,127
2,Vandal,0.8,17.3%,74.2%,8.5%,122.2
3,Guardian,0.7,18.2%,75.2%,6.6%,118.9
4,Phantom,0.8,14.5%,75.1%,10.4%,113.8
5,Odin,0.9,8.7%,70.8%,20.5%,107.9
6,Marshal,0.5,22.7%,72.9%,4.3%,99.9
7,Bulldog,0.7,13.7%,76.2%,10.1%,96.2
8,Ares,0.6,10.4%,71.6%,18.0%,92.6
9,Sheriff,0.5,22.5%,72.3%,5.2%,90.5
10,Spectre,0.6,11.6%,75.6%,12.8%,87
11,Judge,0.6,12.0%,73.2%,14.7%,82.1
12,Stinger,0.5,15.0%,74.2%,10.8%,79.1
13,Ghost,0.7,18.0%,74.5%,7.5%,78.9
14,Bucky,0.5,14.2%,75.2%,10.6%,71.8
15,Classic,0.4,15.6%,75.8%,8.6%,64.2
16,Frenzy,0.6,14.9%,74.0%,11.1%,63.7
17,Shorty,0.5,14.4%,73.5%,12.2%,60.5
