,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.5,12.6%,80.7%,6.7%,132.7
1,Operator,0.7,10.0%,84.3%,5.7%,120.3
2,Vandal,0.8,14.0%,73.8%,12.2%,117.9
3,Guardian,0.6,13.3%,75.8%,10.9%,116.7
4,Phantom,0.7,12.0%,73.3%,14.7%,110.2
5,Odin,0.8,7.9%,67.2%,24.9%,105.6
6,Marshal,0.4,20.3%,73.8%,5.9%,95.9
7,Bulldog,0.6,11.4%,74.9%,13.7%,95.4
8,Ares,0.6,9.5%,69.1%,21.3%,92.9
9,Sheriff,0.5,18.6%,73.4%,8.0%,86.9
10,Spectre,0.6,10.5%,73.8%,15.7%,86.3
11,Judge,0.5,10.8%,71.5%,17.7%,78.4
12,Ghost,0.6,14.3%,74.8%,10.8%,77.3
13,Stinger,0.5,13.8%,72.3%,13.8%,73.3
14,Bucky,0.4,12.6%,73.8%,13.6%,68.7
15,Frenzy,0.5,13.2%,72.9%,13.9%,61.9
16,Classic,0.4,12.6%,75.6%,11.8%,60.9
17,Shorty,0.4,12.7%,72.2%,15.1%,54.6
