,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.9%,85.0%,4.0%,131.6
1,Outlaw,0.7,14.3%,81.5%,4.2%,131.2
2,Vandal,0.8,22.4%,71.5%,6.1%,124.3
3,Guardian,0.7,25.5%,70.3%,4.2%,117.8
4,Phantom,0.8,19.2%,73.5%,7.3%,115.2
5,Odin,0.9,10.6%,73.3%,16.1%,105.8
6,Marshal,0.5,25.2%,71.4%,3.4%,99.2
7,Sheriff,0.5,27.2%,69.0%,3.7%,94.4
8,Bulldog,0.7,18.5%,74.2%,7.3%,93.4
9,Ares,0.6,12.7%,72.8%,14.5%,85
10,Spectre,0.7,14.9%,75.3%,9.9%,83.6
11,Judge,0.6,12.9%,73.8%,13.3%,82.2
12,Stinger,0.6,16.7%,74.7%,8.6%,80
13,Ghost,0.8,23.6%,71.4%,5.0%,78.2
14,Bucky,0.5,15.2%,75.7%,9.0%,72.6
15,Shorty,0.5,15.5%,74.2%,10.3%,67.2
16,Classic,0.4,20.7%,73.2%,6.1%,66.8
17,Frenzy,0.5,17.9%,73.3%,8.8%,63.1
