,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.6,12.8%,81.2%,6.1%,134.1
1,Operator,0.8,10.1%,84.7%,5.2%,123.1
2,Vandal,0.8,15.1%,74.3%,10.6%,119.7
3,Guardian,0.6,14.9%,76.0%,9.1%,117.8
4,Phantom,0.8,12.8%,74.3%,12.9%,111.7
5,Odin,0.9,8.1%,68.6%,23.3%,106.7
6,Marshal,0.4,21.3%,73.6%,5.1%,98
7,Bulldog,0.6,12.1%,75.7%,12.2%,95.9
8,Ares,0.6,9.8%,70.1%,20.1%,93.4
9,Sheriff,0.5,20.1%,73.3%,6.7%,88.3
10,Spectre,0.6,10.7%,74.7%,14.6%,86.8
11,Judge,0.6,11.3%,72.4%,16.3%,80
12,Ghost,0.7,15.6%,75.0%,9.4%,78.1
13,Stinger,0.5,14.3%,73.3%,12.4%,75.8
14,Bucky,0.4,13.3%,74.5%,12.1%,69.8
15,Frenzy,0.6,13.5%,73.8%,12.7%,62.7
16,Classic,0.4,13.6%,76.0%,10.5%,62.1
17,Shorty,0.4,13.5%,72.7%,13.9%,56.4
