,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.7,14.1%,81.6%,4.3%,131.4
1,Operator,0.9,10.8%,85.1%,4.1%,130.9
2,Vandal,0.8,21.7%,72.0%,6.3%,124
3,Guardian,0.7,24.6%,71.1%,4.3%,117.7
4,Phantom,0.8,18.5%,73.9%,7.6%,115.2
5,Odin,0.9,10.4%,73.1%,16.6%,106.1
6,Marshal,0.5,24.9%,71.5%,3.6%,99.3
7,Bulldog,0.7,17.7%,74.6%,7.6%,93.7
8,Sheriff,0.5,26.6%,69.5%,3.9%,93.6
9,Ares,0.6,12.3%,72.8%,15.0%,86.6
10,Spectre,0.7,14.4%,75.4%,10.2%,84
11,Judge,0.6,12.8%,73.8%,13.4%,82.5
12,Stinger,0.6,16.4%,74.7%,8.9%,79.9
13,Ghost,0.8,22.8%,71.9%,5.3%,78.2
14,Bucky,0.5,15.1%,75.7%,9.2%,72.6
15,Classic,0.4,20.0%,73.7%,6.4%,66.4
16,Shorty,0.5,15.4%,74.1%,10.4%,65.8
17,Frenzy,0.5,17.5%,73.4%,9.0%,62.8
