,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,11.1%,84.6%,4.3%,135.5
1,Outlaw,0.7,13.9%,82.3%,3.9%,128.5
2,Vandal,0.8,28.0%,66.9%,5.1%,124.8
3,Guardian,0.7,32.2%,64.4%,3.4%,118.1
4,Phantom,0.8,24.2%,69.7%,6.1%,113.7
5,Odin,0.8,12.7%,73.3%,14.0%,100.8
6,Marshal,0.6,27.9%,69.0%,3.0%,100
7,Sheriff,0.5,31.8%,65.1%,3.0%,99.6
8,Bulldog,0.8,24.7%,69.7%,5.6%,91
9,Judge,0.6,12.7%,73.8%,13.5%,80.4
10,Ares,0.6,15.8%,72.8%,11.4%,78.6
11,Spectre,0.7,18.6%,73.4%,8.0%,78.6
12,Stinger,0.5,18.3%,74.0%,7.7%,78.3
13,Shorty,0.7,16.1%,73.9%,9.9%,77
14,Ghost,0.8,29.7%,66.5%,3.8%,76.8
15,Bucky,0.5,14.8%,76.2%,9.0%,71.6
16,Classic,0.4,25.8%,69.5%,4.8%,68.1
17,Frenzy,0.6,20.8%,72.0%,7.3%,62.7
