,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,11.0%,85.0%,4.0%,132
1,Outlaw,0.7,14.4%,81.4%,4.2%,130.2
2,Vandal,0.8,23.0%,71.0%,5.9%,124.1
3,Guardian,0.7,26.5%,69.5%,4.0%,117
4,Phantom,0.8,19.8%,73.1%,7.1%,114.9
5,Odin,0.8,10.9%,73.4%,15.7%,105.2
6,Marshal,0.5,25.6%,71.0%,3.4%,98.8
7,Sheriff,0.5,27.8%,68.5%,3.6%,94.6
8,Bulldog,0.7,19.2%,73.7%,7.1%,92.6
9,Ares,0.6,13.1%,72.9%,14.0%,83.8
10,Spectre,0.7,15.4%,75.1%,9.5%,82.7
11,Judge,0.6,13.0%,73.8%,13.3%,82
12,Stinger,0.5,17.0%,74.5%,8.5%,79.6
13,Ghost,0.8,24.3%,70.8%,4.8%,77.7
14,Bucky,0.5,15.4%,75.8%,8.9%,72.3
15,Shorty,0.5,15.6%,74.2%,10.1%,67.8
16,Classic,0.4,21.3%,72.8%,5.9%,66.8
17,Frenzy,0.5,18.4%,73.2%,8.4%,62.7
