,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,11.0%,84.8%,4.2%,134.6
1,Outlaw,0.7,14.4%,81.7%,3.9%,128.8
2,Vandal,0.8,26.4%,68.3%,5.3%,124.4
3,Guardian,0.7,30.6%,65.8%,3.5%,117.1
4,Phantom,0.8,22.8%,70.9%,6.3%,114.1
5,Odin,0.8,12.1%,73.5%,14.3%,101.8
6,Marshal,0.5,27.4%,69.6%,3.0%,99.6
7,Sheriff,0.5,30.7%,66.1%,3.2%,98.1
8,Bulldog,0.7,23.0%,71.0%,6.0%,91.2
9,Judge,0.6,12.8%,73.6%,13.6%,80.6
10,Ares,0.6,15.3%,72.5%,12.2%,80.2
11,Spectre,0.7,17.5%,74.1%,8.4%,79.4
12,Stinger,0.5,17.9%,74.2%,7.9%,78.5
13,Ghost,0.8,28.0%,67.9%,4.1%,76.9
14,Shorty,0.6,15.8%,74.0%,10.2%,73.8
15,Bucky,0.5,15.3%,75.9%,8.8%,72.3
16,Classic,0.4,24.5%,70.5%,5.0%,67.9
17,Frenzy,0.5,20.0%,72.4%,7.6%,62.1
