,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.6,13.0%,81.5%,5.4%,135
1,Operator,0.8,10.2%,85.0%,4.7%,125.2
2,Vandal,0.8,16.3%,74.4%,9.4%,121.2
3,Guardian,0.7,16.7%,75.8%,7.5%,118.4
4,Phantom,0.8,13.7%,74.8%,11.5%,112.9
5,Odin,0.9,8.4%,69.9%,21.7%,107.2
6,Marshal,0.4,22.1%,73.3%,4.7%,99.2
7,Bulldog,0.6,13.0%,76.1%,10.9%,96.6
8,Ares,0.6,10.1%,70.9%,19.0%,93
9,Sheriff,0.5,21.4%,72.8%,5.8%,89.5
10,Spectre,0.6,11.2%,75.2%,13.6%,87.1
11,Judge,0.6,11.8%,72.9%,15.3%,81
12,Ghost,0.7,16.9%,74.8%,8.3%,78.6
13,Stinger,0.5,14.6%,73.9%,11.5%,78.1
14,Bucky,0.5,13.8%,75.0%,11.2%,71
15,Classic,0.4,14.7%,75.9%,9.4%,63.3
16,Frenzy,0.6,14.2%,74.0%,11.9%,63
17,Shorty,0.5,14.0%,73.2%,12.8%,58.3
