,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,10.9%,85.0%,4.1%,133
1,Outlaw,0.7,14.6%,81.3%,4.0%,129.9
2,Vandal,0.8,24.3%,70.0%,5.7%,124.4
3,Guardian,0.7,28.0%,68.2%,3.8%,117
4,Phantom,0.8,21.0%,72.3%,6.7%,114.8
5,Odin,0.8,11.5%,73.5%,15.0%,104.4
6,Marshal,0.5,26.4%,70.4%,3.3%,99
7,Sheriff,0.5,28.9%,67.6%,3.4%,95.9
8,Bulldog,0.7,20.7%,72.8%,6.6%,92.3
9,Ares,0.6,14.1%,72.7%,13.2%,81.7
10,Spectre,0.7,16.3%,74.7%,9.0%,81.6
11,Judge,0.6,13.0%,73.6%,13.4%,81.4
12,Stinger,0.5,17.3%,74.5%,8.3%,79.5
13,Ghost,0.8,25.7%,69.8%,4.5%,77.5
14,Bucky,0.5,15.4%,75.8%,8.8%,72.1
15,Shorty,0.5,15.7%,74.3%,10.0%,70
16,Classic,0.4,22.6%,71.9%,5.5%,67.4
17,Frenzy,0.5,19.1%,72.8%,8.2%,62.9
