,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,11.3%,84.5%,4.2%,136.4
1,Outlaw,0.8,12.7%,83.6%,3.6%,128.8
2,Vandal,0.8,30.2%,64.9%,4.9%,125.1
3,Guardian,0.7,34.9%,62.0%,3.1%,120.8
4,Phantom,0.8,26.2%,68.0%,5.9%,112.2
5,Sheriff,0.6,33.5%,63.7%,2.9%,101.6
6,Marshal,0.6,29.2%,67.8%,3.0%,99.1
7,Odin,0.8,13.0%,74.0%,13.0%,97.6
8,Bulldog,0.7,27.3%,67.4%,5.3%,90.5
9,Shorty,0.8,16.3%,73.3%,10.3%,81.8
10,Judge,0.6,12.5%,73.0%,14.6%,80.3
11,Stinger,0.5,18.1%,74.5%,7.4%,79.1
12,Ares,0.6,15.1%,73.5%,11.4%,78.5
13,Ghost,0.8,32.3%,64.2%,3.5%,76.7
14,Spectre,0.7,19.8%,73.0%,7.2%,76.1
15,Bucky,0.5,14.5%,75.8%,9.8%,74.2
16,Classic,0.4,27.9%,67.7%,4.4%,68.5
17,Frenzy,0.6,22.2%,70.9%,6.9%,62.5
