,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,11.1%,84.7%,4.2%,135.9
1,Outlaw,0.8,12.7%,83.7%,3.7%,127.4
2,Vandal,0.8,29.5%,65.5%,5.0%,125
3,Guardian,0.7,33.9%,62.8%,3.2%,119.8
4,Phantom,0.8,25.6%,68.5%,5.9%,113.4
5,Sheriff,0.5,33.1%,64.0%,2.9%,100.7
6,Odin,0.8,13.3%,72.6%,14.1%,99.8
7,Marshal,0.6,28.7%,68.4%,2.9%,99.3
8,Bulldog,0.8,26.0%,68.6%,5.3%,90.3
9,Judge,0.6,12.5%,73.6%,13.9%,79.7
10,Shorty,0.7,16.0%,73.9%,10.1%,79.5
11,Ares,0.6,16.5%,72.5%,11.0%,79.1
12,Stinger,0.5,18.5%,73.9%,7.6%,77.9
13,Spectre,0.7,19.6%,72.8%,7.6%,77.1
14,Ghost,0.8,31.4%,65.0%,3.6%,76.8
15,Bucky,0.5,14.7%,76.1%,9.2%,72.9
16,Classic,0.4,27.0%,68.4%,4.6%,68
17,Frenzy,0.6,20.9%,71.6%,7.5%,62.1
