,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,11.2%,84.7%,4.1%,137
1,Outlaw,0.8,11.9%,84.3%,3.8%,127.9
2,Vandal,0.8,31.2%,64.0%,4.8%,125.1
3,Guardian,0.7,35.7%,61.1%,3.2%,120.9
4,Phantom,0.8,26.6%,67.5%,5.9%,113.1
5,Sheriff,0.6,34.3%,62.9%,2.7%,101.9
6,Marshal,0.6,29.4%,67.8%,2.8%,99.7
7,Odin,0.7,14.2%,73.7%,12.1%,98.1
8,Bulldog,0.8,28.1%,66.9%,5.0%,89.9
9,Shorty,0.8,16.9%,72.9%,10.2%,83.2
10,Ares,0.6,14.3%,74.6%,11.1%,82.7
11,Judge,0.6,12.3%,73.3%,14.4%,80.6
12,Stinger,0.5,18.3%,74.0%,7.7%,76.8
13,Ghost,0.8,33.3%,63.2%,3.5%,76.8
14,Spectre,0.7,20.0%,72.7%,7.3%,75.8
15,Bucky,0.5,14.3%,75.3%,10.4%,74.7
16,Classic,0.4,28.5%,67.2%,4.4%,68.5
17,Frenzy,0.6,22.4%,70.3%,7.4%,63.3
