,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.6,13.7%,81.7%,4.6%,133.9
1,Operator,0.9,10.6%,85.2%,4.2%,129.1
2,Vandal,0.8,19.3%,73.4%,7.3%,123.4
3,Guardian,0.7,21.2%,73.5%,5.2%,118.6
4,Phantom,0.8,16.3%,74.8%,8.9%,114.8
5,Odin,0.9,9.5%,72.2%,18.4%,107.5
6,Marshal,0.5,23.8%,72.4%,3.8%,100.1
7,Bulldog,0.7,15.4%,75.8%,8.8%,95.1
8,Sheriff,0.5,24.5%,71.1%,4.4%,92.1
9,Ares,0.6,11.3%,72.2%,16.6%,90.3
10,Spectre,0.7,12.8%,75.7%,11.5%,86
11,Judge,0.6,12.5%,73.6%,13.9%,82.6
12,Stinger,0.6,15.6%,74.7%,9.7%,80.2
13,Ghost,0.8,20.2%,73.5%,6.3%,78.9
14,Bucky,0.5,14.8%,75.5%,9.8%,72.5
15,Classic,0.4,17.6%,75.0%,7.4%,65.4
16,Frenzy,0.6,16.0%,74.0%,10.0%,63.6
17,Shorty,0.5,14.9%,73.9%,11.2%,62.9
