,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,11.1%,84.8%,4.1%,135.2
1,Outlaw,0.7,14.2%,81.9%,3.9%,128.9
2,Vandal,0.8,27.2%,67.6%,5.2%,124.5
3,Guardian,0.7,31.5%,65.0%,3.4%,117.6
4,Phantom,0.8,23.6%,70.2%,6.2%,114
5,Odin,0.8,12.6%,73.1%,14.3%,101.1
6,Marshal,0.6,27.8%,69.2%,3.0%,99.7
7,Sheriff,0.5,31.3%,65.6%,3.1%,99
8,Bulldog,0.8,23.9%,70.3%,5.8%,91
9,Judge,0.6,12.7%,73.7%,13.6%,80.4
10,Ares,0.6,15.1%,72.6%,12.2%,79.5
11,Spectre,0.7,18.0%,73.8%,8.2%,78.7
12,Stinger,0.5,18.0%,74.3%,7.8%,78.2
13,Ghost,0.8,28.9%,67.2%,3.9%,76.9
14,Shorty,0.6,16.0%,74.1%,9.9%,75.3
15,Bucky,0.5,15.1%,76.0%,9.0%,72.3
16,Classic,0.4,25.2%,69.9%,4.9%,68
17,Frenzy,0.6,20.3%,72.2%,7.4%,62.4
