,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,11.0%,85.0%,4.0%,132.5
1,Outlaw,0.7,14.6%,81.4%,4.1%,130.1
2,Vandal,0.8,23.7%,70.5%,5.8%,124.3
3,Guardian,0.7,27.3%,68.8%,3.9%,117
4,Phantom,0.8,20.5%,72.7%,6.9%,114.8
5,Odin,0.8,11.2%,73.4%,15.4%,104.6
6,Marshal,0.5,26.0%,70.7%,3.3%,99.1
7,Sheriff,0.5,28.5%,68.0%,3.5%,95.5
8,Bulldog,0.7,20.0%,73.2%,6.8%,92.5
9,Ares,0.6,13.6%,72.8%,13.6%,82.3
10,Spectre,0.7,15.8%,74.9%,9.3%,82.1
11,Judge,0.6,13.0%,73.7%,13.3%,81.8
12,Stinger,0.5,17.1%,74.6%,8.3%,79.4
13,Ghost,0.8,25.0%,70.3%,4.6%,77.6
14,Bucky,0.5,15.5%,75.8%,8.8%,72.5
15,Shorty,0.5,15.5%,74.4%,10.0%,68.9
16,Classic,0.4,22.0%,72.3%,5.7%,67.1
17,Frenzy,0.5,18.8%,72.9%,8.3%,62.8
