,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,11.0%,84.9%,4.1%,133.9
1,Outlaw,0.7,14.6%,81.5%,3.9%,129.1
2,Vandal,0.8,25.7%,68.9%,5.4%,124.3
3,Guardian,0.7,29.8%,66.6%,3.6%,116.9
4,Phantom,0.8,22.2%,71.3%,6.5%,114.2
5,Odin,0.8,12.0%,73.6%,14.4%,102.6
6,Marshal,0.5,27.0%,69.9%,3.1%,99.1
7,Sheriff,0.5,30.1%,66.6%,3.3%,97.3
8,Bulldog,0.7,22.3%,71.6%,6.2%,91.6
9,Judge,0.6,12.9%,73.7%,13.4%,80.7
10,Ares,0.6,14.7%,72.7%,12.7%,80.3
11,Spectre,0.7,17.2%,74.2%,8.6%,80.1
12,Stinger,0.5,17.6%,74.4%,7.9%,78.4
13,Ghost,0.8,27.2%,68.6%,4.2%,77.1
14,Shorty,0.6,15.7%,74.2%,10.1%,72
15,Bucky,0.5,15.2%,75.8%,9.0%,71.6
16,Classic,0.4,23.9%,70.9%,5.2%,67.6
17,Frenzy,0.5,19.8%,72.4%,7.8%,62.2
