,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.6,13.6%,81.6%,4.8%,134.5
1,Operator,0.8,10.5%,85.2%,4.3%,128
2,Vandal,0.8,18.4%,73.8%,7.7%,122.8
3,Guardian,0.7,20.0%,74.2%,5.8%,118.5
4,Phantom,0.8,15.6%,75.0%,9.5%,114.3
5,Odin,0.9,9.1%,71.6%,19.3%,107.4
6,Marshal,0.5,23.3%,72.6%,4.1%,99.7
7,Bulldog,0.7,14.7%,75.9%,9.3%,95.4
8,Ares,0.6,10.9%,71.9%,17.3%,91.3
9,Sheriff,0.5,23.7%,71.6%,4.7%,91.1
10,Spectre,0.7,12.3%,75.7%,12.0%,86.3
11,Judge,0.6,12.3%,73.4%,14.3%,82
12,Stinger,0.6,15.5%,74.4%,10.1%,79.6
13,Ghost,0.7,19.3%,73.9%,6.8%,78.8
14,Bucky,0.5,14.6%,75.3%,10.1%,72
15,Classic,0.4,16.7%,75.3%,7.9%,64.7
16,Frenzy,0.6,15.4%,74.1%,10.4%,63.4
17,Shorty,0.5,14.6%,73.7%,11.6%,61.7
