,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.7,13.9%,81.6%,4.5%,133.6
1,Operator,0.9,10.7%,85.2%,4.1%,130
2,Vandal,0.9,20.2%,73.0%,6.9%,124
3,Guardian,0.7,22.6%,72.6%,4.8%,118.8
4,Phantom,0.8,17.1%,74.5%,8.3%,115.3
5,Odin,0.9,9.8%,72.6%,17.7%,107.3
6,Marshal,0.5,24.3%,72.1%,3.7%,100.1
7,Bulldog,0.7,16.2%,75.4%,8.4%,94.9
8,Sheriff,0.5,25.4%,70.5%,4.2%,92.9
9,Ares,0.6,11.6%,72.5%,15.9%,89.3
10,Spectre,0.7,13.3%,75.7%,11.0%,85.7
11,Judge,0.6,12.6%,73.7%,13.7%,82.7
12,Stinger,0.6,15.9%,74.6%,9.4%,80.4
13,Ghost,0.8,21.2%,72.9%,5.9%,78.9
14,Bucky,0.5,15.0%,75.6%,9.5%,72.8
15,Classic,0.4,18.5%,74.5%,7.0%,66
16,Shorty,0.5,15.1%,74.1%,10.9%,64.5
17,Frenzy,0.6,16.6%,73.7%,9.7%,63.5
