,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,11.0%,84.9%,4.1%,133.3
1,Outlaw,0.7,14.6%,81.3%,4.0%,129.3
2,Vandal,0.8,25.0%,69.5%,5.5%,124.2
3,Guardian,0.7,29.0%,67.3%,3.7%,117.1
4,Phantom,0.8,21.6%,71.8%,6.6%,114.4
5,Odin,0.8,11.6%,73.6%,14.8%,103
6,Marshal,0.5,26.8%,70.0%,3.2%,98.9
7,Sheriff,0.5,29.5%,67.1%,3.4%,96.5
8,Bulldog,0.7,21.5%,72.1%,6.4%,91.9
9,Ares,0.6,14.5%,72.8%,12.7%,81.2
10,Judge,0.6,12.9%,73.8%,13.3%,81.1
11,Spectre,0.7,16.7%,74.4%,8.8%,80.7
12,Stinger,0.5,17.5%,74.5%,8.1%,78.7
13,Ghost,0.8,26.5%,69.1%,4.3%,77.2
14,Bucky,0.5,15.3%,75.8%,8.9%,72.2
15,Shorty,0.5,15.7%,74.3%,10.0%,70.8
16,Classic,0.4,23.2%,71.4%,5.3%,67.3
17,Frenzy,0.5,19.4%,72.7%,7.9%,62.5
