,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Reyna,1.19,18.1,15.3,4.3,50.8%,12.7%,254,"3,237,672"
1,Phoenix,1.12,17,15.1,4.4,50.7%,3.2%,241,"819,591"
2,Brimstone,0.97,14.4,14.8,7.8,50.5%,4.2%,207,"1,074,925"
3,Sage,0.91,13.4,14.7,6.8,50.3%,7.9%,190,"2,010,335"
4,Jett,1.13,17.5,15.5,3.6,50.1%,9.2%,245,"2,338,164"
5,Gekko,0.93,13.8,14.9,4.9,50.1%,3.5%,193,"888,371"
6,Viper,1,14.6,14.5,5,50.0%,3.9%,205,"996,816"
7,Deadlock,1,14.7,14.7,4.1,50.0%,1.4%,204,"366,372"
8,Cypher,1.01,14.4,14.3,4.8,49.9%,7.4%,199,"1,881,083"
9,Astra,1.05,15.2,14.5,5.8,49.9%,1.2%,211,"294,811"
10,Sova,0.99,14.3,14.5,5.2,49.8%,4.5%,203,"1,157,185"
11,Killjoy,1,14.2,14.3,3.7,49.7%,3.9%,200,"1,004,551"
12,Raze,1.05,16.5,15.6,4.5,49.6%,6.3%,239,"1,619,855"
13,Fade,0.94,14,14.9,6.1,49.4%,1.9%,198,"478,506"
14,Chamber,1.11,16.3,14.6,3.2,49.2%,4.0%,224,"1,009,391"
15,Skye,0.94,14,14.9,7.1,49.2%,4.9%,198,"1,247,941"
16,Omen,0.99,14.9,15,5.9,49.0%,9.2%,208,"2,347,732"
17,Breach,0.95,14.4,15.2,6,48.7%,2.1%,203,"541,264"
18,Neon,1.01,16.2,16,4.2,48.0%,1.9%,230,"474,722"
19,Yoru,1.03,15.8,15.4,4.2,47.0%,1.9%,221,"484,459"
20,Iso,1.03,16.4,15.8,4.1,46.8%,1.9%,233,"482,976"
21,Harbor,0.92,13.9,15.1,5.5,46.6%,0.8%,195,"193,175"
22,KAY/O,0.91,13.9,15.3,8.2,46.0%,2.3%,201,"594,478"
