,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Killjoy,0.76,10.4,13.7,3.7,50.7%,3.2%,159,"55,577"
1,Cypher,0.81,11.2,13.8,4.6,50.4%,4.8%,163,"82,048"
2,Sage,0.69,9.8,14.2,5.6,50.3%,12.5%,147,"214,245"
3,Reyna,0.93,13.4,14.5,4.2,49.9%,10.6%,199,"180,536"
4,Gekko,0.71,10.4,14.6,4.4,49.8%,5.7%,153,"97,105"
5,Deadlock,0.77,11,14.2,3.8,49.7%,2.1%,162,"35,146"
6,Viper,0.74,10.6,14.3,4.3,49.5%,3.3%,159,"55,752"
7,Raze,0.84,12.2,14.6,4.3,49.5%,6.3%,187,"107,017"
8,Skye,0.72,10.4,14.4,6.1,49.4%,4.2%,157,"72,594"
9,Brimstone,0.78,11.1,14.2,5.5,49.4%,3.2%,169,"54,526"
10,Sova,0.76,10.7,14.2,4.4,49.3%,4.3%,162,"73,747"
11,Jett,0.87,12.6,14.5,3.4,49.2%,5.6%,188,"95,489"
12,Omen,0.79,11.5,14.5,4.2,49.2%,7.2%,169,"122,417"
13,Fade,0.7,10.2,14.6,5.7,49.1%,3.2%,154,"54,214"
14,Chamber,0.84,11.8,14.1,3.4,48.8%,2.0%,174,"34,598"
15,Phoenix,0.84,12,14.3,4,48.2%,4.8%,181,"81,695"
16,Harbor,0.7,10.3,14.7,4.6,48.0%,0.9%,153,"14,969"
17,Breach,0.79,11.3,14.2,4.7,47.8%,1.2%,169,"20,772"
18,KAY/O,0.7,10.2,14.7,6.9,47.7%,2.4%,158,"40,984"
19,Yoru,0.79,11.6,14.6,3.8,47.6%,5.3%,171,"91,179"
20,Neon,0.78,11.7,14.9,3.8,47.2%,4.3%,175,"73,193"
21,Iso,0.77,11.6,15,3.8,47.0%,2.6%,176,"44,111"
22,Astra,0.83,11.2,13.5,4,46.7%,0.5%,167,"8,433"
