,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Phoenix,1.1,17,15.4,4.4,50.7%,2.8%,238,"482,288"
1,Brimstone,0.96,14.3,14.9,8.4,50.5%,3.9%,203,"664,257"
2,Sage,0.91,13.6,14.9,6.9,50.5%,6.4%,190,"1,096,862"
3,Reyna,1.14,17.7,15.6,4.2,50.1%,11.7%,245,"2,009,290"
4,Deadlock,1,14.9,14.9,4.1,50.0%,1.3%,203,"218,650"
5,Gekko,0.92,13.9,15,4.9,49.9%,3.2%,190,"543,933"
6,Viper,0.99,14.6,14.7,5.1,49.9%,4.5%,202,"771,089"
7,Sova,0.98,14.4,14.7,5.3,49.8%,5.4%,201,"936,299"
8,Cypher,1,14.5,14.5,4.7,49.7%,7.8%,197,"1,349,433"
9,Astra,1.03,15.1,14.7,6.2,49.5%,1.4%,207,"243,022"
10,Jett,1.09,17.3,15.9,3.5,49.4%,11.2%,239,"1,929,961"
11,Fade,0.94,14.2,15,6.2,49.3%,1.7%,197,"295,037"
12,Killjoy,0.99,14.3,14.4,3.5,49.2%,3.8%,198,"654,037"
13,Raze,1.03,16.4,16,4.4,49.1%,6.6%,235,"1,135,042"
14,Chamber,1.09,16.3,14.9,3,49.0%,4.8%,221,"818,592"
15,Skye,0.94,14.1,15.1,7.1,49.0%,4.9%,196,"836,662"
16,Omen,0.98,14.8,15.1,6.5,48.8%,9.3%,203,"1,597,641"
17,Breach,0.93,14.3,15.4,6.5,48.2%,2.2%,199,"374,808"
18,Neon,0.97,15.9,16.4,4.1,47.4%,1.3%,224,"218,095"
19,Yoru,1.01,15.9,15.7,4.2,46.9%,1.6%,220,"271,095"
20,Harbor,0.91,13.9,15.2,5.6,46.5%,0.6%,192,"107,281"
21,Iso,1.01,16.3,16.1,4.1,46.1%,1.5%,229,"258,638"
22,KAY/O,0.9,14,15.5,8.6,45.6%,2.3%,200,"399,081"
