,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Harbor,1.03,15.4,15,5.7,55.0%,0.1%,205,111
1,Deadlock,1.11,16.8,15.1,4.3,53.7%,1.4%,218,"2,880"
2,Fade,1.05,15.7,15,6.8,53.2%,1.8%,209,"3,701"
3,Phoenix,1.1,17.4,15.7,4.7,52.3%,1.4%,237,"2,868"
4,Yoru,1.07,17.2,16.1,4.3,51.9%,1.8%,230,"3,724"
5,Astra,1.13,16.2,14.3,7.4,51.1%,1.3%,215,"2,695"
6,Reyna,1.14,18.1,15.9,4.1,51.1%,11.2%,243,"22,756"
7,Viper,1.07,15.9,14.9,5.3,51.0%,6.5%,213,"13,311"
8,Cypher,1.07,15.8,14.8,4.4,51.0%,8.4%,207,"17,053"
9,Jett,1.12,18.2,16.2,3.1,50.9%,17.4%,244,"35,381"
10,Killjoy,1.1,16.1,14.7,2.9,50.7%,5.1%,213,"10,487"
11,Omen,1.03,15.5,15,8.3,50.7%,8.5%,206,"17,365"
12,Sage,0.99,15,15.2,6.9,50.6%,1.0%,203,"2,038"
13,Raze,1.07,17.5,16.4,4.1,50.4%,9.2%,243,"18,737"
14,Sova,1.04,15.4,14.7,5.5,50.4%,8.6%,208,"17,486"
15,Brimstone,1.03,15.4,14.9,9.6,50.3%,2.3%,212,"4,696"
16,Skye,1,15.1,15.1,7.8,50.2%,4.4%,201,"8,918"
17,Gekko,0.99,14.9,15,5.3,50.1%,3.0%,197,"6,034"
18,Chamber,1.15,17.4,15.1,2.5,49.9%,3.8%,228,"7,811"
19,Breach,0.98,14.8,15,8.2,49.8%,0.7%,199,"1,495"
20,Neon,0.96,16.4,17.1,4.5,49.4%,0.2%,221,462
21,Iso,1.1,17.6,16.1,4.2,49.2%,0.4%,239,744
22,KAY/O,0.96,15,15.7,9.8,45.0%,1.5%,208,"3,116"
