,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Killjoy,0.91,12.9,14.1,3.9,50.1%,4.0%,188,"572,933"
1,Cypher,0.93,13.1,14.1,4.9,50.0%,6.8%,186,"987,893"
2,Reyna,1.08,16.1,15,4.5,50.0%,11.2%,232,"1,615,279"
3,Sage,0.83,12,14.5,6.5,49.9%,11.0%,174,"1,593,406"
4,Brimstone,0.9,13.2,14.6,6.8,49.8%,4.1%,194,"590,979"
5,Astra,0.95,13.6,14.3,5.1,49.6%,0.7%,194,"104,374"
6,Gekko,0.84,12.5,14.8,4.8,49.5%,4.9%,179,"703,709"
7,Deadlock,0.9,13.2,14.7,4.2,49.4%,1.9%,188,"274,040"
8,Jett,1.01,15.3,15.2,3.8,49.3%,5.6%,221,"811,135"
9,Viper,0.9,13,14.5,4.9,49.1%,3.4%,189,"495,677"
10,Raze,0.95,14.5,15.3,4.7,49.1%,5.7%,217,"824,752"
11,Phoenix,0.99,14.8,14.9,4.4,49.1%,3.7%,215,"539,980"
12,Breach,0.88,13.3,15.1,5.5,49.0%,1.8%,192,"255,919"
13,Skye,0.85,12.5,14.8,6.9,48.9%,5.3%,182,"764,302"
14,Sova,0.88,12.7,14.5,5,48.8%,4.1%,186,"593,103"
15,Omen,0.92,13.6,14.8,5.1,48.8%,8.8%,194,"1,277,959"
16,Fade,0.84,12.4,14.8,6,48.6%,2.7%,181,"383,905"
17,Chamber,0.99,14.4,14.5,3.5,48.6%,2.8%,204,"406,099"
18,Neon,0.93,14.5,15.6,4.2,48.0%,3.0%,210,"438,807"
19,Iso,0.92,14.4,15.6,4.2,46.8%,2.1%,211,"308,601"
20,Harbor,0.83,12.4,14.9,5.3,46.7%,1.0%,180,"138,097"
21,Yoru,0.91,13.8,15.2,4.2,46.5%,3.1%,199,"446,565"
22,KAY/O,0.82,12.3,15.1,7.8,46.4%,2.4%,184,"350,581"
