,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Sage,0.99,14.9,15,6.8,51.8%,1.9%,202,"15,392"
1,Phoenix,1.11,17.3,15.6,4.5,51.6%,1.6%,237,"12,853"
2,Deadlock,1.05,15.8,15,4.2,51.2%,0.9%,209,"7,561"
3,Reyna,1.12,17.7,15.8,4.1,50.9%,11.9%,239,"97,964"
4,Brimstone,1,14.8,14.9,9.7,50.8%,2.7%,207,"22,477"
5,Gekko,0.96,14.4,15,5.1,50.5%,2.5%,192,"20,481"
6,Cypher,1.03,15.1,14.7,4.4,50.4%,9.4%,200,"77,756"
7,Jett,1.09,17.6,16.2,3.1,50.3%,16.6%,237,"136,887"
8,Killjoy,1.05,15.4,14.6,3,50.1%,4.5%,205,"37,235"
9,Astra,1.06,15.6,14.7,7.5,50.0%,1.2%,209,"9,904"
10,Sova,1,14.7,14.7,5.5,50.0%,8.6%,201,"71,232"
11,Raze,1.04,16.8,16.2,4.2,49.8%,8.0%,236,"65,753"
12,Viper,1.02,15.1,14.8,5.2,49.7%,5.6%,203,"46,446"
13,Omen,1,15,15,8.2,49.6%,9.3%,201,"76,594"
14,Skye,0.97,14.6,15.1,7.5,49.6%,4.8%,197,"39,218"
15,Chamber,1.11,16.8,15.1,2.5,49.2%,3.9%,221,"32,157"
16,Yoru,1.02,16.3,15.9,4.2,49.1%,1.5%,220,"12,058"
17,Neon,0.98,16.2,16.6,4.3,49.1%,0.4%,224,"3,520"
18,Fade,0.99,14.8,14.9,6.7,48.9%,1.4%,200,"11,271"
19,Breach,0.95,14.3,15.2,8.1,48.7%,1.3%,195,"10,842"
20,Harbor,0.94,14.3,15.1,5.9,48.0%,0.2%,194,"1,550"
21,Iso,1.05,17,16.2,3.9,46.8%,0.6%,232,"4,791"
22,KAY/O,0.93,14.6,15.7,9.8,44.1%,1.3%,204,"10,479"
