,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Sage,0.98,14.6,15,6.9,52.3%,2.8%,200,"82,594"
1,Deadlock,1.05,15.7,15,4.2,51.6%,1.0%,209,"30,330"
2,Phoenix,1.1,17.2,15.7,4.6,51.6%,1.9%,237,"55,614"
3,Brimstone,0.99,14.8,14.9,9.6,51.5%,3.0%,207,"88,256"
4,Reyna,1.12,17.7,15.8,4.1,50.6%,11.7%,239,"348,996"
5,Gekko,0.95,14.3,15,5.1,50.1%,2.5%,192,"73,217"
6,Cypher,1.03,15,14.6,4.5,50.1%,9.1%,200,"272,307"
7,Fade,0.99,14.9,15,6.6,50.0%,1.3%,201,"38,432"
8,Viper,1.01,15,14.8,5.2,49.9%,5.4%,203,"162,192"
9,Killjoy,1.04,15.2,14.6,3.1,49.9%,3.8%,204,"114,289"
10,Sova,1,14.7,14.7,5.5,49.8%,8.0%,201,"239,643"
11,Jett,1.08,17.5,16.1,3.2,49.8%,16.0%,237,"475,880"
12,Astra,1.05,15.5,14.8,7.3,49.8%,1.4%,209,"41,340"
13,Skye,0.96,14.6,15.1,7.4,49.8%,4.7%,198,"140,196"
14,Raze,1.04,16.8,16.2,4.2,49.4%,7.4%,236,"221,326"
15,Omen,0.99,14.9,15,7.9,49.3%,9.1%,203,"270,939"
16,Neon,0.98,16.3,16.6,4.2,48.4%,0.6%,225,"17,845"
17,Breach,0.95,14.4,15.3,7.7,48.4%,1.6%,196,"48,595"
18,Chamber,1.1,16.7,15.1,2.6,48.4%,4.6%,221,"136,814"
19,Yoru,1.03,16.3,15.9,4.2,48.4%,1.5%,222,"45,065"
20,Harbor,0.93,14.3,15.4,6,46.2%,0.3%,192,"8,565"
21,Iso,1.04,16.8,16.2,3.9,46.1%,0.7%,231,"22,223"
22,KAY/O,0.93,14.6,15.6,9.5,45.0%,1.5%,204,"44,868"
