,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Phoenix,1.11,17.3,15.6,4.6,53.3%,1.5%,237,"9,519"
1,Sage,1,15,15,6.8,53.3%,1.7%,204,"10,773"
2,Deadlock,1.06,16.1,15.1,4.3,52.3%,1.0%,210,"6,593"
3,Brimstone,1,14.8,14.8,9.7,51.4%,2.7%,206,"17,647"
4,Reyna,1.12,17.6,15.8,4,51.3%,11.7%,238,"75,531"
5,Fade,1,14.9,15,6.7,50.9%,1.4%,200,"8,851"
6,Jett,1.09,17.7,16.2,3.1,50.8%,16.5%,238,"106,502"
7,Killjoy,1.06,15.5,14.6,3,50.4%,5.0%,207,"32,037"
8,Gekko,0.96,14.4,15,5.1,50.2%,2.6%,191,"17,002"
9,Cypher,1.04,15.2,14.6,4.3,50.2%,9.6%,201,"61,987"
10,Raze,1.05,17,16.2,4.1,50.2%,8.2%,238,"52,847"
11,Yoru,1.04,16.5,15.9,4.2,50.1%,1.4%,224,"8,994"
12,Sova,1.01,14.8,14.7,5.5,50.0%,8.9%,202,"57,201"
13,Astra,1.06,15.7,14.8,7.6,49.9%,1.1%,209,"7,350"
14,Viper,1.02,15.1,14.8,5.2,49.9%,5.9%,204,"38,046"
15,Neon,0.98,16.2,16.6,4.2,49.8%,0.4%,223,"2,832"
16,Omen,0.99,14.9,15,8.2,49.6%,9.2%,201,"59,663"
17,Skye,0.96,14.5,15.1,7.6,49.5%,4.6%,196,"29,433"
18,Chamber,1.12,16.9,15.1,2.5,49.5%,3.3%,221,"21,409"
19,Iso,1.07,17.1,16,4,49.3%,0.6%,235,"3,669"
20,Breach,0.95,14.4,15.1,8.3,48.1%,1.3%,195,"8,238"
21,Harbor,0.94,14.4,15.4,5.9,46.9%,0.2%,191,"1,116"
22,KAY/O,0.93,14.5,15.6,9.9,45.0%,1.3%,203,"8,188"
