,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Reyna,1.19,18.2,15.3,4.2,50.8%,12.9%,255,"477,572"
1,Jett,1.14,17.8,15.6,3.7,50.6%,10.4%,249,"385,488"
2,Sage,0.91,13.4,14.8,6.6,50.5%,9.5%,188,"351,242"
3,Viper,1.01,14.7,14.5,5.2,50.5%,8.8%,205,"325,013"
4,Killjoy,1,14.2,14.3,3.5,50.3%,4.8%,200,"175,851"
5,Gekko,0.93,13.9,14.9,4.8,50.1%,3.2%,193,"117,832"
6,Astra,1.05,15.3,14.6,4.8,49.8%,0.6%,211,"22,460"
7,Fade,0.94,14.1,15,6.1,49.7%,1.7%,199,"63,778"
8,Deadlock,1,14.8,14.8,4,49.7%,1.6%,204,"58,495"
9,Sova,0.97,14.2,14.6,5,49.7%,7.0%,200,"259,460"
10,Phoenix,1.1,16.7,15.2,4.2,49.6%,2.8%,236,"101,907"
11,Chamber,1.11,16.2,14.6,3.1,49.6%,5.0%,223,"183,068"
12,Raze,1.05,16.4,15.7,4.3,49.0%,5.4%,236,"198,444"
13,Skye,0.94,14,15,6.8,48.9%,3.5%,198,"130,667"
14,Brimstone,0.96,14.3,14.9,6.8,48.9%,2.4%,205,"89,660"
15,Cypher,0.99,14.3,14.5,4.6,48.6%,2.9%,198,"107,546"
16,Omen,0.99,15.1,15.2,5,48.4%,6.7%,210,"248,288"
17,Neon,1.01,16.3,16.1,4.1,48.3%,2.1%,232,"79,087"
18,Breach,0.94,14.4,15.4,5.7,48.0%,1.4%,203,"53,190"
19,Iso,1.04,16.5,15.8,4.1,47.5%,1.9%,235,"69,110"
20,Harbor,0.92,13.9,15.1,5.7,47.3%,0.8%,195,"30,897"
21,Yoru,1.01,15.6,15.5,4,46.3%,1.9%,218,"70,732"
22,KAY/O,0.91,14,15.4,8.4,46.2%,2.5%,202,"92,823"
