,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Sage,0.95,14.3,15.1,6.8,51.8%,5.2%,194,"37,008"
1,Brimstone,0.94,14.2,15.1,7.6,50.7%,0.4%,199,"2,525"
2,Killjoy,1.04,15.3,14.6,2.9,50.3%,5.9%,203,"41,995"
3,Gekko,0.95,14.4,15.1,4.7,50.2%,1.5%,194,"10,733"
4,Reyna,1.11,17.8,16.1,3.9,50.2%,13.6%,241,"96,401"
5,Fade,0.95,14.6,15.4,6.2,50.2%,0.5%,197,"3,502"
6,Phoenix,1.07,17,15.9,4.2,50.1%,1.0%,232,"6,817"
7,Deadlock,1.02,15.6,15.2,3.8,49.8%,1.1%,206,"7,680"
8,Jett,1.08,17.8,16.4,3.4,49.7%,18.0%,242,"127,507"
9,Sova,0.98,14.6,14.9,5.2,49.6%,14.8%,198,"104,939"
10,Viper,1.02,15.2,14.9,5.4,49.6%,16.9%,205,"119,656"
11,Astra,1.01,15.2,15.1,5.5,49.2%,0.2%,204,"1,255"
12,Chamber,1.09,16.6,15.2,2.6,48.8%,7.8%,219,"55,088"
13,Iso,1.03,16.9,16.4,3.8,48.7%,0.7%,232,"5,243"
14,Skye,0.96,14.7,15.4,6.9,48.1%,0.9%,201,"6,387"
15,Raze,1,16.4,16.4,4.1,48.1%,4.2%,229,"30,101"
16,Omen,0.98,15.3,15.7,5.5,48.0%,1.6%,206,"11,019"
17,Cypher,0.99,14.8,14.9,4.1,47.7%,1.5%,196,"10,736"
18,Breach,0.92,14.4,15.6,6.5,47.5%,0.3%,196,"2,084"
19,Neon,0.95,16.1,16.9,4.1,46.5%,0.8%,222,"5,348"
20,Harbor,0.94,14.5,15.5,6,46.2%,0.7%,194,"4,618"
21,Yoru,0.98,15.9,16.2,3.9,45.7%,1.2%,216,"8,237"
22,KAY/O,0.93,14.8,15.9,9.3,44.3%,1.4%,205,"9,926"
